gene,ref_in_universe,candidates,universe,recovered,recovery,hyperg_p,perm_p,misses
PTEN,10,97,883,2,0.2,0.302188806938,0.302669733027,A-674563;AZD5363;BMS-754807;GDC-0068;U-0126;bisindolylmaleimide-ix;canertinib;triciribine
CDKN2A,0,48,1402,0,,,,
RB1,49,94,1360,10,0.204081632653,0.00132291368705,0.000999900009999,3-amino-benzamide;7-hydroxystaurosporine;AG-14361;AT-9283;AZD7762;BI-2536;BX-912;CCT129202;CCT137690;CHIR-124;CYC116;E7449;ENMD-2076;GSK1070916;GSK461364;GW-843682X;HMN-214;JNJ-7706621;LY2603618;MK-5108;MK-8745;MLN-8054;NMS-1286937;PD-98059;PF-03814735;PF-477736;PHA-680632;PJ-34;SCH-900776;TAK-901;U-0126;alisertib;aurora-a-inhibitor-i;danusertib;hesperadin;inosine;orantinib;rigosertib;volasertib
TP53,5,16,1402,4,0.8,5.63804020532e-08,9.99900009999e-05,K-858
